strain,tempreture,strain_rate,flow_stress
0,-40,0.3,0
0.0033898,-40,0.3,1.96078
0.0067797,-40,0.3,4.90196
0.0101695,-40,0.3,8.82353
0.0135593,-40,0.3,12.7451
0.0169492,-40,0.3,16.6667
0.020339,-40,0.3,19.6078
0.0212402,-40,0.3,28.0362
0.0245469,-40,0.3,35.2713
0.0278539,-40,0.3,42.5065
0.0311609,-40,0.3,49.7416
0.0344679,-40,0.3,56.9767
0.034195267,-40,0.3,66.46852959
0.040601618,-40,0.3,78.524519
0.044672455,-40,0.3,85.13399649
0.051146498,-40,0.3,98.99211579
0.054232847,-40,0.3,106.1893431
0.061113992,-40,0.3,121.2543522
0.067695712,-40,0.3,136.8450233
0.071530151,-40,0.3,144.6406197
0.078181016,-40,0.3,160.2101633
0.081694174,-40,0.3,167.8834932
0.088413212,-40,0.3,182.9340392
0.095177702,-40,0.3,197.3348188
0.098403207,-40,0.3,204.184325
0.105235844,-40,0.3,217.2959284
0.112115488,-40,0.3,229.4832064
0.11575013,-40,0.3,235.2234065
0.122702744,-40,0.3,245.8684459
0.126754452,-40,0.3,250.6002037
0.133784267,-40,0.3,259.681891
0.140863852,-40,0.3,267.846618
0.144229984,-40,0.3,271.6938854
0.151384173,-40,0.3,278.367939
0.158589914,-40,0.3,284.1692814
0.162408388,-40,0.3,286.5967161
0.169694298,-40,0.3,291.2003805
0.177033682,-40,0.3,294.7982491
0.180524012,-40,0.3,296.4273467
0.187943609,-40,0.3,298.8932644
0.195418668,-40,0.3,300.7873089
0.19936968,-40,0.3,301.4314772
0.206930965,-40,0.3,302.4630939
0.210538533,-40,0.3,302.9646567
0.218185068,-40,0.3,303.3244155
0.225890523,-40,0.3,303.2644397
0.229964032,-40,0.3,302.9995674
0.237761143,-40,0.3,302.4612176
0.245619527,-40,0.3,301.5763309
0.249358108,-40,0.3,301.1364678
0.257308521,-40,0.3,300.1133655
0.26532265,-40,0.3,298.8596417
0.26957214,-40,0.3,298.0575231
0.277685558,-40,0.3,296.4185542
0.285865343,-40,0.3,294.6647288
0.290203223,-40,0.3,293.6425903
0.298474329,-40,0.3,291.6252748
0.302428418,-40,0.3,290.5750775
0.309487199,-40,0.3,288.6797389
